"objid","baumnummer","geometry"
"89663","OE-4717","POINT (2683423.8 1251855)"
"236228","SE-4663","POINT (2683281.5 1252234.2)"
"141611","SE-71","POINT (2683526 1252471.8)"
"237371","SE-5214","POINT (2683286.2 1252245)"
"129944","SE-2168","POINT (2683414.2 1252393.4)"
"29624","SE-286","POINT (2683559 1252388)"
"52886","OE-5245","POINT (2683495.8 1251895.9)"
"108116","SE-3827","POINT (2683424.2 1252198.6)"
"96434","OE-1433","POINT (2683270.2 1251838.5)"
"67517","SE-287","POINT (2683560.8 1252378.8)"
"24239","SE-2120","POINT (2683498.2 1252421)"
"129947","SE-2163","POINT (2683353.5 1252391.8)"
"55718","OE-5663","POINT (2683574 1252018.5)"
"89666","OE-4718","POINT (2683407.8 1251849.5)"
"236249","SE-5220","POINT (2683308.8 1252235.1)"
"112016","OE-4698","POINT (2683369.8 1251856.2)"
"46154","SE-2316","POINT (2683500 1252237.4)"
"104930","SE-5323","POINT (2683343.5 1252384.2)"
"151637","OE-5657","POINT (2683561 1252019.6)"
"236252","SE-5219","POINT (2683312.5 1252235.4)"
"67514","SE-2121","POINT (2683485.5 1252420.4)"
"105119","SE-5330","POINT (2683417.8 1252340.4)"
"89654","OE-4712","POINT (2683428.2 1251887)"
"108113","SE-3826","POINT (2683416.5 1252210.6)"
"55829","OE-5670","POINT (2683590.2 1252014.9)"
"89657","OE-4715","POINT (2683437.8 1251863)"
"96425","OE-1430","POINT (2683285 1251864.1)"
"105125","SE-5332","POINT (2683411.5 1252329.8)"
"108101","SE-2176","POINT (2683421.8 1252264.5)"
"112013","OE-4697","POINT (2683369.8 1251852.8)"
"112031","OE-4705","POINT (2683399.5 1251871.2)"
"54455","SE-5422","POINT (2683599.8 1252246.5)"
"17816","SE-2305","POINT (2683601 1252489.4)"
"46133","SE-2309","POINT (2683540 1252389.5)"
"170417","SE-2128","POINT (2683482 1252455.4)"
"170420","SE-2124","POINT (2683488.5 1252425.5)"
"237368","SE-5208","POINT (2683292 1252245.2)"
"151757","OE-5667","POINT (2683580.5 1252012.5)"
"141200","SE-2183","POINT (2683546.2 1252452.4)"
"236222","SE-5225","POINT (2683269.5 1252235.2)"
"180782","SE-5418","POINT (2683569.8 1252307.8)"
"52772","SE-4420","POINT (2683470 1252050.2)"
"73580","OE-813","POINT (2683627.5 1251822.2)"
"96419","OE-1428","POINT (2683273.2 1251884)"
"112046","OE-4710","POINT (2683417.2 1251884)"
"136415","SE-3821","POINT (2683414.2 1252244.4)"
"29237","OE-158","POINT (2683271.8 1252042.9)"
"46142","SE-2312","POINT (2683489.8 1252286.5)"
"16835","SE-2167","POINT (2683396.2 1252395.8)"
"105128","SE-5333","POINT (2683411.2 1252326.8)"
"218339","OE-5654","POINT (2683559 1252009.2)"
"89537","OE-4704","POINT (2683396 1251868.1)"
"141308","SE-2185","POINT (2683539.5 1252444.1)"
"218336","OE-5653","POINT (2683561.8 1252005.1)"
"114389","OE-4693","POINT (2683335.8 1251836.2)"
"105122","SE-5331","POINT (2683412.2 1252336)"
"73583","OE-814","POINT (2683629.8 1251811.8)"
"17828","SE-2323","POINT (2683520.2 1252056.6)"
"236792","SE-4677","POINT (2683316.8 1252236)"
"17831","SE-2322","POINT (2683520 1252050.9)"
"63176","OE-5671","POINT (2683585.5 1252010.5)"
"54443","SE-5416","POINT (2683572.2 1252335.5)"
